Variable name,Description,Dimension,,
q_lakeflow,estimated discharge,m^3/s,,
reach_id,inflow or outflow reach id,na,,
n_lakeflow,estimated manning's n,s/m,,
a0_lakeflow,estimated bathymetry,m^2,,
date,observation date,na,,
lake_id,lake ID,na,,
q_model,prior discharge from GEOGLOWS model,m^3/s,,
width,reach width (log scaled),m,,
slope_2,smoothed slope (log scaled),m/m,,
da,change in cross-sectional area (scaled to be >0),m^2,,
wse,water surface elevation,m,,
storage,lake storage,m^3,,
dv,rate of change in volume,m^3/s,,
tributary,lateral tributary inflows,m^3/s,,
et,evaporative loss,m^3/s,,
type,reach type (inflow/outflow),na,,
n_lakeflow_sd,standard deviation of estimated manning's n,s/m,,
a0_lakeflow_sd,standard deviation of estimated bathymetry,m^2,,
q_upper,maximum discharge (log scaled),m^3/s,,
q_lower,minimum discharge (log scaled),m^3/s,,
bayes_q,bayesian estimate of inflow/outflow,m^3/s,,
bayes_q_sd,standard deviation of bayesian estimate of inflow/outflow,m^3/s,,
prior_fit,source of priors (sos or geobam),na,,
,,,,
